workerid,proliferate.condition,internal_node_id,response,rt,stimulus,time_elapsed,trial_index,trial_type,error
73,condition1,0.0-0.0,0,1211,"<p><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p>",1212,0,html-button-response,
73,condition1,0.0-1.0, ,763,"In this experiment, you will read a passage about a situation. Then, you will be asked two short questions. Please read the passage carefully and answer the questions as you see fit. Press SPACE to continue. Thanks! :)",1977,1,html-keyboard-response,
73,condition1,0.0-2.0,1,1201,"A town has an infamous murderer called 'Big Tony'. There are reports circulating that say that near the main train station, there's evidence of Big Tony's death. Inspector Ari arrives at the crime scene. After looking at the evidence carefully and exhaustively running all the tests he could, Ari says:<br><br><b> ""Big Tony might be dead"".</b><br><br>Ari decides to ease the patrol at night in the town. <b>Soon after, two brutal murders get committed in a single night, just in the style of Big Tony</b>. Then a team of federal agents gets called by Ari's supervisor. The federal agents look at the evidence and after running some specialized forensic tests conclude that actually <b>Big Tony is alive and he planted the fake evidence himself</b>, but the initial investigation by Ari was carefully conducted without errors.<br><br> The supervisor wonders <b>if Ari is a competent inspector</b> and if he should be kept as a member of the inspection team, given that two brutal murders got committed after Ari's inspection. The supervisor asks the federal agents:<br><br>""Two brutal murders got committed, and I am wondering if I can rely on Ari or if I should fire him. After looking at the evidence carefully, Ari said, 'Big Tony might be dead'. <b>Is what he said true?</b>""<br><br><b>What's the most appropriate response to the supervisor's question ""is what he said true""?</b><br><br>",3179,2,html-button-response,
73,condition1,0.0-3.0,1,1429,"Instructions: Given the statement below, choose whether what is said is TRUE or FALSE.<br><br><br>The specialized forensic tests revealed that Big Tony was dead.<br><br>",4610,3,html-button-response,
73,condition1,0.0-4.0, ,472,Thank you for time! Have a nice rest of your day! :) Press space to conclude this study.,5083,4,html-keyboard-response,
80,condition1,0.0-0.0,0,1528,"<p><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p>",1530,0,html-button-response,
80,condition1,0.0-1.0, ,722,"In this experiment, you will read a passage about a situation. Then, you will be asked two short questions. Please read the passage carefully and answer the questions as you see fit. Press SPACE to continue. Thanks! :)",2254,1,html-keyboard-response,
80,condition1,0.0-2.0,1,1507,"Yoonji liked to play baseball when she was a kid. Now, she's busy most of the day due to work, but she wants to try playing baseball with her nieces. Due to rustiness over time, she's not sure if she should do that though. Yoonji goes to her physiotherapist. The physiotherapist performs a careful and thorough physical examination, which suggests that she has a slight meniscus tear. The physiotherapist says to Yoonji:<br><br><b>""You might have a slight meniscus tear.""</b><br><br> Yoonji wonders if she should ditch plans of playing baseball with her nieces. For more certainty, she gets an MRI done. Regardless of the MRI results, she decides that she'll delay her plans to play with her nieces for some other weekend. Still, she is interested in finding out <b>whether her physiotherapist is competent</b> and if she should stay with him for another year. Yoonji goes to the radiologist who has the MRI results, which show <b>no tear at all</b>. The radiologist also interprets the physiotherapist's report, which doesn't show any errors. Yoonji asks the radiologist:<br><br> ""I play baseball with my nieces at times. I am wondering if I should stay with my physiotherapist for another year. He said, 'You might have a slight meniscus tear'. Is what he said true?""<br><br> <b>What's the most appropriate response to Yoonji's question ""Is what he said true?""?</b><br><br>",3762,2,html-button-response,
80,condition1,0.0-3.0,1,1680,"Instructions: Given the statement below, choose whether what is said is TRUE or FALSE.<br><br><br>The MRI result suggested that Yoonji had a meniscus tear.<br><br>",5443,3,html-button-response,
80,condition1,0.0-4.0, ,2169,Thank you for time! Have a nice rest of your day! :) Press space to conclude this study.,7614,4,html-keyboard-response,
